City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,berekum,7.4534,-2.584,72.54,95,100,3.18,GH,1697142986
314,totness,5.8833,-56.3167,83.77,74,3,12.06,SR,1697142987
315,takoradi,4.8845,-1.7554,76.06,92,100,8.16,GH,1697142700
316,isabela,6.7085,121.9711,78.57,84,16,3.0,PH,1697142987
317,avanigadda,16.0215,80.9181,78.94,85,9,4.25,IN,1697142987
318,brezina,33.0989,1.2608,69.01,31,0,6.15,DZ,1697142987
319,vikulovo,56.8167,70.6107,38.8,74,100,12.01,RU,1697142736
320,robbah,33.2797,6.9098,74.84,39,0,7.49,DZ,1697142988
321,mindelo,16.8901,-24.9804,81.95,74,40,6.91,CV,1697142988
322,tantou,26.0314,119.5986,71.37,78,75,6.71,CN,1697142988
323,santo pipo,-27.1413,-55.4087,59.16,79,88,5.53,AR,1697142989
324,linqiong,30.4159,103.4609,62.42,90,100,3.15,CN,1697142989
325,lisala,2.15,21.5167,71.42,87,28,2.59,CD,1697142989
326,lebu,-37.6167,-73.65,51.84,73,0,22.39,CL,1697142989
327,warrnambool,-38.3833,142.4833,54.14,89,100,18.07,AU,1697142989
328,haffouz,35.6324,9.6762,72.63,47,0,3.11,TN,1697142990
329,juan de herrera,18.874,-71.2383,83.07,71,79,4.43,DO,1697142990
330,hotan,37.0997,79.9269,59.49,24,0,3.74,CN,1697142990
331,dodola,6.9833,39.1833,51.33,86,45,2.51,ET,1697142990
332,pokrovskoye,47.4157,38.8971,48.18,42,24,5.82,RU,1697142991
333,sarandi del yi,-33.35,-55.6333,55.92,50,13,12.41,UY,1697142991
334,arkhangel'sk,64.5401,40.5433,40.12,94,77,5.32,RU,1697142991
335,sucua,-2.4667,-78.1667,88.54,45,40,6.91,EC,1697142991
336,ghat,24.9647,10.1728,78.76,24,13,8.61,LY,1697142991
337,wadebridge,50.5173,-4.8363,61.97,100,75,14.97,GB,1697142992
338,palangkaraya,-2.2,113.8333,74.62,90,96,1.25,ID,1697142992
339,price,39.5994,-110.8107,54.66,35,75,12.66,US,1697142992
340,senatobia,34.6176,-89.9687,71.64,79,100,4.0,US,1697142992
341,borogontsy,62.6683,131.1683,36.28,71,100,11.01,RU,1697142993
342,san rafael,-34.6177,-68.3301,69.58,16,0,11.77,AR,1697142993
343,auch,43.65,0.5833,71.46,59,3,4.0,FR,1697142993
344,lerdo de tejada,18.6167,-95.5167,88.5,72,75,9.6,MX,1697142993
345,port saint john's,-31.6229,29.5448,62.71,81,43,7.47,ZA,1697142993
346,klaksvik,62.2266,-6.589,41.92,71,18,22.12,FO,1697142994
347,calama,-22.4667,-68.9333,79.29,6,0,24.16,CL,1697142994
348,kruisfontein,-34.0033,24.7314,57.9,74,2,18.5,ZA,1697142994
349,road town,18.4167,-64.6167,87.84,70,40,5.75,VG,1697142994
350,nong wua so,17.1626,102.5727,72.21,89,17,2.08,TH,1697142995
351,muynoq,43.7683,59.0214,51.13,56,66,9.01,UZ,1697142995
352,kingscliff,-28.2667,153.5667,67.95,73,1,10.36,AU,1697142995
353,pacocha,-17.5833,-71.3333,69.94,73,75,6.91,PE,1697142995
354,tekkali,18.6167,84.2333,76.39,84,17,3.18,IN,1697142995
